start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T02:28:00.000,56996.440000,56996.440000,57018.000000,56997.490000
2024-09-11T02:29:00.000,56982.010000,56982.000000,57006.000000,56996.450000
2024-09-11T02:30:00.000,56968.010000,56968.000000,57018.000000,56982.010000
2024-09-11T02:31:00.000,56886.000000,56886.000000,56968.010000,56968.010000
2024-09-11T02:32:00.000,56803.990000,56796.000000,56894.000000,56886.010000
2024-09-11T02:33:00.000,56800.190000,56798.610000,56834.720000,56804.000000
2024-09-11T02:34:00.000,56838.000000,56800.000000,56838.000000,56800.190000
2024-09-11T02:35:00.000,56868.430000,56837.990000,56880.000000,56838.000000
2024-09-11T02:36:00.000,56889.990000,56856.000000,56898.000000,56869.020000
2024-09-11T02:37:00.000,56899.990000,56888.000000,56912.000000,56889.990000
2024-09-11T02:38:00.000,56885.990000,56868.010000,56901.100000,56900.000000
2024-09-11T02:39:00.000,56941.100000,56885.990000,56941.100000,56885.990000
2024-09-11T02:40:00.000,56896.000000,56896.000000,56957.940000,56941.100000
2024-09-11T02:41:00.000,56921.100000,56890.000000,56921.100000,56896.000000
2024-09-11T02:42:00.000,57120.990000,56904.000000,57150.000000,56921.090000
2024-09-11T02:43:00.000,57076.000000,57076.000000,57180.980000,57120.990000
2024-09-11T02:44:00.000,57109.980000,57076.000000,57110.000000,57076.010000
2024-09-11T02:45:00.000,57064.000000,57064.000000,57112.000000,57109.980000
2024-09-11T02:46:00.000,57075.990000,57036.580000,57085.520000,57064.000000
2024-09-11T02:47:00.000,56982.900000,56963.080000,57078.000000,57075.990000
2024-09-11T02:48:00.000,57042.000000,56975.600000,57042.000000,56983.490000
2024-09-11T02:49:00.000,57014.660000,56982.000000,57042.000000,57041.990000
2024-09-11T02:50:00.000,57021.900000,57000.000000,57027.160000,57014.670000
2024-09-11T02:51:00.000,57013.990000,57002.000000,57021.910000,57021.900000
2024-09-11T02:52:00.000,57006.000000,56996.000000,57025.280000,57013.990000
2024-09-11T02:53:00.000,57025.990000,56996.000000,57026.000000,57006.010000
2024-09-11T02:54:00.000,56987.980000,56984.000000,57025.990000,57025.990000
2024-09-11T02:55:00.000,56999.990000,56984.000000,57016.000000,56987.990000
2024-09-11T02:56:00.000,56976.000000,56971.190000,57014.000000,57000.000000
2024-09-11T02:57:00.000,56952.000000,56944.130000,56975.990000,56975.990000
